p1	p2	dcifer
SPT35471	SPT35407	0
SPT35471	SPT35410	0
SPT35471	SPT35414	0
SPT35471	SPT35417	0
SPT35471	SPT35418	0
SPT35471	SPT35419	0
SPT35471	SPT35423	0
SPT35471	SPT35436	0
SPT35471	SPT35444	0
SPT35471	SPT35316	0
SPT35471	SPT35331	0
SPT35471	SPT35339	0
SPT35471	SPT35364	0
SPT35471	SPT35372	0
SPT35471	SPT35405	0
SPT35471	SPT35424	0
SPT35471	SPT35427	0
SPT35471	SPT35437	0.359
SPT35471	SPT35440	0
SPT35471	SPT35467	0
SPT35471	SPT35468	0.84
SPT35471	SPT35470	0
SPT35471	SPT35472	0
SPT35471	SPT35475	0
SPT35471	SPT35476	0.871
SPT35471	SPT35485	0
SPT35471	SPT35499	0
SPT35471	SPT35780	0
SPT35509	SPT35551	0
SPT35509	SPT35556	0.006
SPT35509	SPT35564	0.017
SPT35509	SPT35566	0
SPT35509	SPT35587	0
SPT35509	SPT35673	0.024
SPT35509	SPT35681	0
SPT35509	SPT35752	0
SPT35509	SPT35334	0
SPT35509	SPT35469	0
SPT35509	SPT35332	0
SPT35509	SPT35351	0.004
SPT35509	SPT35355	0
SPT35509	SPT35420	0.001
SPT35509	SPT35502	0
SPT35509	SPT35412	0.006
SPT35509	SPT35446	0.005
SPT35509	SPT35450	0
SPT35509	SPT35474	0
SPT35509	SPT35503	0
SPT35509	SPT35571	0
SPT35509	SPT35575	0
SPT35509	SPT35592	0
SPT35509	SPT35766	0
